epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.129,2.1158,3.95053,1.91427,0.00593,0.58503,0.1052,0.04642,1.97594,4.41943,1.67115,0.00031673,0.00031673,0.00031673
2,515.629,1.9785,2.67282,1.64944,0.0046,0.51701,0.17654,0.04541,1.93396,4.30594,1.60172,0.000628676,0.000628676,0.000628676
3,721.055,1.9304,2.3908,1.66083,1,0.01943,0.27299,0.09188,2.0186,4.0426,1.78324,0.000918617,0.000918617,0.000918617
4,930.421,1.91713,2.24797,1.65676,0.41923,0.04082,0.07442,0.032,2.08928,4.13806,1.87617,0.00118655,0.00118655,0.00118655
5,1136.61,1.97736,2.22762,1.72884,0.9558,0.14717,0.36103,0.13609,2.08325,3.73507,1.78468,0.00143249,0.00143249,0.00143249
6,1359.66,1.99543,2.15354,1.71033,0.84216,0.39927,0.47981,0.21201,2.13848,2.69537,1.81901,0.00139195,0.00139195,0.00139195
7,1573.21,1.92659,1.89861,1.67912,0.67909,0.43537,0.45711,0.19947,2.02912,2.6115,1.80609,0.00133693,0.00133693,0.00133693
8,1790.29,1.89009,1.88153,1.59641,0.57127,0.39456,0.41949,0.15709,2.09694,2.55342,1.78328,0.00128192,0.00128192,0.00128192
9,1987.95,1.94584,1.81977,1.651,0.69878,0.40816,0.48461,0.18636,2.22062,2.29586,1.92396,0.00122691,0.00122691,0.00122691
10,2207.39,1.92894,1.75556,1.66727,0.58056,0.42177,0.4343,0.17546,2.09328,2.49452,1.81355,0.0011719,0.0011719,0.0011719
11,2411.36,1.91996,1.73298,1.71417,0.61967,0.47619,0.47336,0.19427,2.13662,2.30227,2.00896,0.00111689,0.00111689,0.00111689
12,2617.05,1.82338,1.56024,1.60508,0.80279,0.4898,0.55743,0.24909,2.14906,1.98723,1.97144,0.00106188,0.00106188,0.00106188
13,2836.73,1.82759,1.54711,1.62798,0.7305,0.51631,0.58289,0.26882,2.04381,1.83497,1.79043,0.00100687,0.00100687,0.00100687
14,3092.65,1.72829,1.42108,1.5474,0.68058,0.55102,0.57565,0.24113,2.10037,1.88388,1.86207,0.000951857,0.000951857,0.000951857
15,3384.19,1.71642,1.33543,1.55201,0.67908,0.53741,0.62285,0.24541,2.05892,1.72367,1.78614,0.000896846,0.000896846,0.000896846
16,3718.6,1.73879,1.32987,1.51539,0.8426,0.52381,0.66309,0.25915,2.02545,1.68182,1.78778,0.000841835,0.000841835,0.000841835
17,4064.47,1.69814,1.25637,1.47921,0.77504,0.4898,0.53868,0.21351,2.28597,1.89297,1.91388,0.000786824,0.000786824,0.000786824
18,4411.76,1.7677,1.2743,1.53873,0.82581,0.54829,0.61441,0.25651,2.11644,1.79364,1.85375,0.000731813,0.000731813,0.000731813
19,4736.16,1.71968,1.23458,1.53085,0.71281,0.61224,0.62745,0.27808,2.055,1.67227,1.76603,0.000676802,0.000676802,0.000676802
20,5037.18,1.66974,1.16612,1.45282,0.72169,0.63507,0.66602,0.28795,2.04769,1.54861,1.73037,0.000621791,0.000621791,0.000621791
21,5348.11,1.63354,1.11502,1.49634,0.75264,0.58503,0.66666,0.30529,2.0333,1.64989,1.72582,0.00056678,0.00056678,0.00056678
22,5651.29,1.62903,1.09457,1.48477,0.73826,0.65239,0.66004,0.30789,1.98999,1.63555,1.77394,0.000511769,0.000511769,0.000511769
23,5935.84,1.56384,1.07643,1.46158,0.82753,0.61905,0.68814,0.31325,1.95107,1.47018,1.71684,0.000456758,0.000456758,0.000456758
24,6202.14,1.54728,1.01964,1.45548,0.77871,0.64626,0.68854,0.29585,2.08391,1.39002,1.80458,0.000401747,0.000401747,0.000401747
25,6478.17,1.5429,0.98795,1.44408,0.77278,0.69408,0.71253,0.31372,1.98149,1.34862,1.72981,0.000346736,0.000346736,0.000346736
26,6751.83,1.48856,0.93721,1.41741,0.78117,0.63265,0.65802,0.30172,1.99223,1.34952,1.76852,0.000291725,0.000291725,0.000291725
27,7028.18,1.45365,0.90702,1.40779,0.80376,0.63946,0.69983,0.30472,2.01562,1.38253,1.73968,0.000236714,0.000236714,0.000236714
28,7304.64,1.44249,0.89649,1.37997,0.79365,0.68027,0.70608,0.31847,1.97036,1.32257,1.73562,0.000181703,0.000181703,0.000181703
29,7578.08,1.406,0.88618,1.33508,0.82897,0.68707,0.73431,0.32796,1.96764,1.28992,1.7238,0.000126692,0.000126692,0.000126692
30,7863.34,1.38823,0.82265,1.34346,0.88364,0.67158,0.72829,0.32593,1.97803,1.28907,1.72633,7.1681e-05,7.1681e-05,7.1681e-05
